NO,名称,名称_カナ,緯度,経度,都道府県名,市区町村名,洪水,土砂災害,地震
75,山岡小学校・グラウンド,ヤマオカショウガッコウグラウンド,35.349601,137.382931,岐阜県,恵那市,1,1,1
76,山岡小学校・体育館,ヤマオカショウガッコウタイイクカン,35.349794,137.382441,岐阜県,恵那市,1,1,1
77,山岡グラウンド・グラウンド,ヤマオカグラウンドグラウンド,35.354395,137.376423,岐阜県,恵那市,0,1,1
78,山岡B&G海洋センター・体育館,ヤマオカビーアンドジーカイヨウセンタータイイクカン,35.353073,137.376396,岐阜県,恵那市,0,1,1
79,山岡農村環境改善センター・ホール,ヤマオカノウソンカンキョウカイゼンセンターホール,35.351983,137.381231,岐阜県,恵那市,0,1,1
80,爪切地蔵ふれあい会館・ホール,ツメキリジゾウフレアイカイカンホール,35.369331,137.39361,岐阜県,恵那市,1,1,1
81,原公民館・ホール,ハラコウミンカンホール,35.330214,137.355363,岐阜県,恵那市,1,0,1
82,田代集落農事集会所・ホール,タシロシュウラクノウジシュウカイジョホール,35.338784,137.323822,岐阜県,恵那市,1,1,1
83,釜屋公孫樹会館・ホール,カマヤモミジカイカンホール,35.337339,137.373532,岐阜県,恵那市,1,1,1
84,ひまわり会館・ホール,ヒマワリカイカンホール,35.345164,137.395606,岐阜県,恵那市,1,1,1
85,さくら会館・ホール,サクラカイカンホール,35.355814,137.408057,岐阜県,恵那市,1,1,1
86,明智小学校・グラウンド,アケチショウガッコウグラウンド,35.310022,137.391801,岐阜県,恵那市,1,1,1
87,明智小学校・体育館,アケチショウガッコウタイイクカン,35.310258,137.391157,岐阜県,恵那市,1,1,1
88,明智中学校・グラウンド,アケチチュウガッコウグラウンド,35.308927,137.393018,岐阜県,恵那市,1,1,1
89,明智中学校・体育館,アケチチュウガッコウタイイクカン,35.309269,137.392176,岐阜県,恵那市,1,1,1
90,旧吉田小学校・グラウンド,キュウヨシダショウガッコウグラウンド,35.30416,137.351333,岐阜県,恵那市,1,1,1
91,旧吉田小学校・体育館,キュウヨシダショウガッコウタイイクカン,35.304449,137.350765,岐阜県,恵那市,1,1,1
92,明智コミュニティセンター・ホール,アケチコミュニティセンターホール,35.30171,137.386847,岐阜県,恵那市,1,1,1
93,明智東方センター・ホール,アケチヒガシカタセンターホール,35.290664,137.422757,岐阜県,恵那市,1,1,1
94,旧吉田こども園・遊戯室,キュウヨシダコドモエンユウギシツ,35.30555,137.362368,岐阜県,恵那市,1,1,1
95,明智Ｂ&Ｇ海洋センター・駐車場,アケチビーアンドジーカイヨウセンターチュウシャジョウ,35.300194,137.390693,岐阜県,恵那市,1,1,1
96,明智Ｂ&Ｇ海洋センター・体育館,アケチビーアンドジーカイヨウセンタータイイクカン,35.300202,137.390419,岐阜県,恵那市,1,1,1
97,明智文化センター・ホール,アケチブンカセンターホール,35.304245,137.389022,岐阜県,恵那市,1,1,1
98,阿妻公民館・ホール,アヅマコウミンカンホール,35.273956,137.345252,岐阜県,恵那市,1,0,0
99,明智杉野集会センター・ホール,アケチスギノシュウカイセンターホール,35.318509,137.399605,岐阜県,恵那市,1,0,1
100,明智横通集会センター・ホール,アケチヨコドオリシュウカイセンターホール,35.287598,137.378166,岐阜県,恵那市,1,1,1
101,明智かえでホール・ホール,アケチカエデホールホール,35.29984,137.390813,岐阜県,恵那市,1,1,1
102,ふれあい会館吉良見・広場,フレアイカイカンキラミヒロバ,35.306697,137.355728,岐阜県,恵那市,1,1,1
103,ふれあい会館吉良見・ホール,フレアイカイカンキラミホール,35.307131,137.355331,岐阜県,恵那市,1,1,1
